L-BFGS_0	1.496729e-03	5.941829e-06	8.162400e-06	1.641843e-04
L-BFGS_100	2.904527e-04	3.017256e-07	6.850030e-06	3.835597e-05
L-BFGS_200	1.833953e-04	2.656569e-07	4.497069e-06	2.237177e-05
L-BFGS_300	9.524119e-05	1.298932e-07	5.301728e-06	5.846918e-06
L-BFGS_400	7.788154e-05	7.084654e-08	4.686377e-06	4.786622e-06
L-BFGS_0	1.059142e-02	1.067447e-05	6.876421e-04	5.295111e-04
L-BFGS_100	9.240909e-03	2.796823e-06	6.899128e-04	4.124199e-04
L-BFGS_200	9.038415e-03	2.628183e-06	6.799706e-04	3.951781e-04
L-BFGS_300	8.976173e-03	2.479931e-06	6.700382e-04	4.055595e-04
L-BFGS_0	1.022537e-01	9.218061e-04	8.825151e-04	1.247908e-03
L-BFGS_100	4.025015e-04	5.189960e-07	7.663512e-07	3.429384e-04
L-BFGS_200	1.307894e-04	2.807363e-07	1.049579e-06	9.221998e-05
L-BFGS_300	4.464110e-05	5.961449e-08	2.898495e-07	3.578116e-05
L-BFGS_400	1.413239e-05	3.520465e-08	1.445917e-07	9.166011e-06
L-BFGS_0	2.717700e-03	1.250385e-05	1.587619e-05	1.308553e-03
L-BFGS_100	5.082800e-04	8.582572e-07	1.130347e-06	4.111508e-04
L-BFGS_200	1.416026e-04	3.209295e-07	7.548769e-07	1.019609e-04
L-BFGS_300	4.661688e-05	7.749251e-08	1.855685e-07	3.701195e-05
L-BFGS_400	2.113936e-05	3.191948e-08	1.040742e-07	1.690667e-05
L-BFGS_0	2.471462e-03	1.093033e-05	9.896708e-06	1.279462e-03
L-BFGS_100	3.998652e-04	4.504525e-07	9.244795e-07	3.455751e-04
L-BFGS_200	1.314546e-04	3.527969e-07	8.307028e-07	8.786785e-05
L-BFGS_300	4.347152e-05	6.716274e-08	2.669561e-07	3.408568e-05
L-BFGS_400	2.309056e-05	3.442928e-08	1.094663e-07	1.855297e-05
L-BFGS_500	1.100606e-05	2.615611e-08	1.440568e-07	6.949884e-06
L-BFGS_0	2.603728e-03	1.204467e-05	1.103850e-05	1.288876e-03
L-BFGS_100	5.283977e-04	9.844633e-07	5.235448e-07	4.247160e-04
L-BFGS_200	1.666963e-04	2.574367e-07	1.192370e-06	1.290290e-04
L-BFGS_300	6.911639e-05	1.029318e-07	2.815601e-07	5.600761e-05
L-BFGS_400	4.106585e-05	5.199726e-08	1.446860e-07	3.441926e-05
L-BFGS_0	3.008705e-03	2.158587e-05	8.644926e-06	1.527336e-04
L-BFGS_100	1.790666e-04	2.333830e-07	1.208987e-06	2.872769e-05
L-BFGS_200	8.473865e-05	1.457318e-07	5.954928e-07	1.284211e-05
L-BFGS_300	3.940089e-05	1.310714e-07	8.690653e-07	3.520619e-06
L-BFGS_0	1.496135e-03	5.918044e-06	8.117297e-06	1.646315e-04
L-BFGS_100	3.080237e-04	3.093728e-07	6.991825e-06	4.143363e-05
L-BFGS_200	1.504263e-04	1.785405e-07	4.320860e-06	1.787273e-05
L-BFGS_300	1.027417e-04	1.429208e-07	5.163095e-06	7.363730e-06
L-BFGS_0	9.883672e-03	9.328168e-06	6.490994e-04	4.919723e-04
L-BFGS_100	8.536921e-03	2.817189e-06	6.425622e-04	3.659159e-04
